CURRENCY,WALLETS,SPOT_LHS,SPOT_RHS,FWD_LHS_CAD,FWD_LHS_EUR,FWD_LHS_GBP,FWD_LHS_USD,DELIVERABLE_LHS,API,FWD_RHS,DELIVERABLE_RHS,CORPAY_COST,CORPAY_FEE,PANGEA_FEE,DELIVERY_SLA,DEADLINE_EST
AED,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.30%,0.20%,0.30%,2 Business Days,9:00 AM
AUD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.13%,0.10%,0.40%,1 Business Day,5:00 PM
CAD,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.12%,0.10%,0.40%,Same Day,4:00 PM
CHF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.12%,0.20%,0.30%,Same Day,4:00 AM
CZK,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.30%,0.20%,0.40%,Same Day,4:00 AM
DKK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.21%,0.20%,0.30%,1 Business Day,5:00 AM
EUR,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,0.11%,0.10%,0.40%,Same Day,4:00 PM
GBP,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,0.12%,0.10%,0.40%,1 Business Day,10:00 AM
HKD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.15%,0.10%,0.40%,3 Business Days,9:00 AM
HUF,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.45%,0.30%,0.30%,1 Business Day,9:00 AM
JPY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.12%,0.10%,0.40%,Same Day,12:00 AM
MXN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.16%,0.10%,0.40%,1 Business Day,1:00 PM
NOK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.14%,0.20%,0.30%,1 Business Day,9:00 AM
NZD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.13%,0.10%,0.40%,1 Business Day,5:00 PM
PLN,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.16%,0.20%,0.40%,1 Business Day,9:00 AM
SEK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.11%,0.20%,0.30%,1 Business Day,9:00 AM
SGD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.10%,0.20%,0.30%,2 Business Days,4:00 AM
THB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,0.34%,0.20%,0.40%,2 Business Days,4:00 AM
ZAR,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,0.30%,0.20%,0.50%,2 Business Days,9:00 AM
USD,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Same Day,4:00 PM
ALL,,Yes,,,,,,,,,,2.40%,0.40%,0.60%,4 Business Days,2:00 PM
AMD,,Yes,,,,,,,,,,0.60%,0.50%,0.50%,4 Business Days,2:00 PM
ANG,,Yes,,,,,,,,,,,0.50%,0.50%,2 Business Days,4:00 PM
AOA,,Yes,,,,,,,,Yes,,3.10%,0.40%,0.60%,4 Business Days,9:00 AM
ARS,,Yes,,,,Yes,Yes,,,Yes,,0.60%,,0.70%,4 Business Days,2:00 PM
AWG,,Yes,,,,,,,,,,0.60%,0.50%,0.50%,4 Business Days,2:00 PM
