MARKET,BBG,ID_BB_GLOBAL,QT_SPEC,CALENDAR_CODE
AEDUSD,AEDUSD BGN Curncy,BBG0013HS7V6,8,FD
AOAUSD,AOAUSD BGN Curncy,BBG0013HS0Q7,4,FD
ARSUSD,ARSUSD BGN Curncy,BBG0013HSN78,4,FD
AUDBRL,AUDBRL BGN Curncy,BBG0013HQBB1,4,B$
AUDCLP,AUDCLP BGN Curncy,BBG0013HPHN6,4,CL
AUDCNH,AUDCNH BGN Curncy,BBG001KBSCL0,4,C+
AUDCNY,AUDCNY BGN Curncy,BBG0013HM5T9,4,C%
AUDCZK,AUDCZK BGN Curncy,BBG0013HQCG4,4,CZ
AUDEUR,AUDEUR BGN Curncy,BBG0013HQ0Y0,4,TE
AUDGBP,AUDGBP BGN Curncy,BBG0013HKV69,5,GB
AUDHKD,AUDHKD BGN Curncy,BBG0013HM6S8,4,$H
AUDHUF,AUDHUF BGN Curncy,BBG0013HP9X3,3,H$
AUDILS,AUDILS BGN Curncy,BBG0013HP1H8,4,IX
AUDINR,AUDINR BGN Curncy,BBG0013HPHT0,4,RB
AUDKRW,AUDKRW BGN Curncy,BBG0013HKT55,4,K%
AUDMXN,AUDMXN BGN Curncy,BBG0013HKK81,4,MX
AUDNOK,AUDNOK BGN Curncy,BBG0013HLST0,5,NO
AUDPLN,AUDPLN BGN Curncy,BBG0013HNGM1,4,PD
AUDRUB,AUDRUB BGN Curncy,BBG0013HQ7X6,4,R$
AUDSEK,AUDSEK BGN Curncy,BBG0013HM779,4,SW
AUDSGD,AUDSGD BGN Curncy,BBG0013HM7D2,4,SI
AUDTRY,AUDTRY BGN Curncy,BBG0013HRN79,4,TU
AUDTWD,AUDTWD BGN Curncy,BBG0013HKK45,4,T+
AUDZAR,AUDZAR BGN Curncy,BBG0013HMRB0,4,SA
BGNUSD,BGNUSD BGN Curncy,BBG0013HSPZ2,4,FD
BRLAUD,BRLAUD BGN Curncy,BBG0013HKP35,4,AU
BRLCAD,BRLCAD BGN Curncy,BBG0013HJC27,4,CA
BRLEUR,BRLEUR BGN Curncy,BBG0013HVSF4,5,TE
BRLGBP,BRLGBP BGN Curncy,BBG0013HQ8Q2,4,GB
BRLUSD,BRLUSD BGN Curncy,BBG0013HSBS1,4,FD
CADAUD,CADAUD BGN Curncy,BBG0013HJZZ0,4,AU
