ccy,rate,min,max
AED,3.6729,10,18000000
ALL,93.07581,100,465000000
AMD,387.69,1000,1938000000
ANG,1.802059,1,9000000
AOA,834.06,1000,4170000000
ARS,885.2828,1000,4426000000
AUD,1.510848,1,8000000
AWG,1.80125,1,9000000
AZN,1.7,1,9000000
BAM,1.811337,1,9000000
BBD,2.018884,1,10000000
BDT,116.9895,100,585000000
BGN,1.806925,1,9000000
BHD,0.3768928,1,2000000
BIF,2873,1000,14365000000
BMD,1,1,5000000
BND,1.353085,1,7000000
BOB,6.908975,10,35000000
BRL,5.1305,10,26000000
BSD,0.9998564,1,5000000
BTN,83.50479,100,418000000
BWP,13.59475,10,68000000
BZD,2.015457,1,10000000
CAD,1.366115,1,7000000
CHF,0.9068,1,5000000
CLP,915.23,1000,4576000000
CNH,7.240905,10,36000000
CNY,7.234,10,36000000
COP,3854.18,10000,19271000000
CRC,512.2458,1000,2561000000
CVE,102.3,100,512000000
CZK,22.9351,10,115000000
DJF,177.72,100,889000000
DKK,6.896095,10,34000000
DOP,58.35,100,292000000
DZD,134.357,100,672000000
EGP,46.8444,100,234000000
ETB,57.42442,100,287000000
EUR,0.9243,1,5000000
FJD,2.2442,1,11000000
GBP,0.7946662,1,4000000
GEL,2.675,1,13000000
GHS,14.25,10,71000000
GMD,67.775,100,339000000
GNF,8597.5,10000,42988000000
GTQ,7.769283,10,39000000
GYD,209.1873,100,1046000000
HKD,7.812865,10,39000000
HNL,24.71394,10,124000000
HTG,132.5671,100,663000000
HUF,356.585,1000,1783000000
IDR,16104.6,10000,80523000000
ILS,3.69638,10,18000000
INR,83.49635,100,417000000
ISK,139.12,100,696000000
JMD,156.3132,100,782000000
JOD,0.7089,1,4000000
JPY,156.4875,100,782000000
KES,130,100,650000000
KGS,88.3346,100,442000000
KHR,4079,10000,20395000000
KMF,456.35,1000,2282000000
KRW,1366.52,1000,6833000000
KWD,0.30751,0.1,2000000
KYD,0.8332446,1,4000000
KZT,441.2297,1000,2206000000
LAK,21365,10000,106825000000
LKR,301.4665,100,1507000000
LRD,193.5,100,968000000
LSL,18.36,10,92000000
MAD,10.022,10,50000000
MDL,17.76312,10,89000000
MGA,4440,10000,22200000000
MKD,56.90264,100,285000000
MOP,8.045659,10,40000000
MRU,39.65,100,198000000
MUR,46.1,100,231000000
MVR,15.45,10,77000000
MWK,1740.5,1000,8703000000
MXN,16.84809,10,84000000
MYR,4.7186,10,24000000
MZN,63.5,100,318000000
NAD,18.36,10,92000000
NGN,1486.98,1000,7435000000
NIO,36.80465,100,184000000
NOK,10.82224,10,54000000
NPR,133.6059,100,668000000
NZD,1.65718,1,8000000
OMR,0.3848337,1,2000000
PAB,0.9998564,1,5000000
PEN,3.7245,10,19000000
PGK,3.880474,10,19000000
PHP,57.7365,100,289000000
PKR,278.1389,100,1391000000
PLN,3.94525,10,20000000
PYG,7505.406,10000,37527000000
QAR,3.6405,10,18000000
RON,4.6,10,23000000
RSD,108.2893,100,541000000
RWF,1293.534,1000,6468000000
SAR,3.750393,10,19000000
SBD,8.475946,10,42000000
SCR,13.85497,10,69000000
SEK,10.82418,10,54000000
SGD,1.352485,1,7000000
SLL,19750,10000,98750000000
SRD,32.1355,100,161000000
SZL,18.36,10,92000000
THB,36.61,100,183000000
TJS,10.90858,10,55000000
TMT,3.51,10,18000000
TND,3.118,1,16000000
TOP,2.37095,1,12000000
TRY,32.3025,100,162000000
TTD,6.786725,10,34000000
TWD,32.3483,100,162000000
TZS,2595,1000,12975000000
UGX,3752.703,10000,18764000000
USD,1,1,5000000
UYU,38.518,100,193000000
UZS,12698.25,10000,63491000000
VND,25450,10000,127250000000
XAF,607.5054,1000,3038000000
XCD,2.70255,1,14000000
XOF,607.5,1000,3038000000
XPF,111.45,100,557000000
ZAR,18.3886,10,92000000
ZMW,25.02234,10,125000000
