instrument_type,market_name,from_ccy,to_ccy,lock_side,order_number,deal_number,transaction_date,value_date,side,all_in_rate,all_in_done,all_in_cntr_done
fwd,USDKES,USD,KES,USD,2374196,EFD341796,2023-12-20,2024-05-02,Sell,155.00992,-119508.42,-18524991
fwd,USDPHP,USD,PHP,USD,2374194,EFD341792,2023-12-20,2024-05-02,Sell,55.010039,-76486.09,-4207503
fwd,USDUGX,USD,UGX,USD,2495735,EFD357451,2024-03-06,2024-04-15,Sell,3853.5645,-99662.60,-384056257
fwd,USDUGX,USD,UGX,USD,2428185,EFD348949,2024-01-29,2024-04-25,Sell,3763.6432,-244711.41,-921006434
fwd,USDUGX,USD,UGX,USD,2495736,EFD357454,2024-03-06,2024-05-15,Sell,3866.976,-99301.78,-383997600
fwd,USDUGX,USD,UGX,USD,2428183,EFD348950,2024-01-29,2024-05-28,Sell,3767.8975,-244451.63,-921068686
fwd,USDUGX,USD,UGX,USD,2495737,EFD357456,2024-03-06,2024-06-14,Sell,3880.4812,-98943.57,-383948663
fwd,USDUGX,USD,UGX,USD,2495738,EFD357459,2024-03-06,2024-07-15,Sell,3894.081,-116076.01,-452009385
fwd,USDUGX,USD,UGX,USD,2495739,EFD357462,2024-03-06,2024-08-15,Sell,3904.7247,-78104.99,-304978484
fwd,USDUGX,USD,UGX,USD,2495740,EFD357465,2024-03-06,2024-09-13,Sell,3910.833,-98184.61,-383983613
fwd,USDUGX,USD,UGX,USD,2495741,EFD357466,2024-03-06,2024-10-15,Sell,3924.6468,-70336.39,-276045488
fwd,USDUGX,USD,UGX,USD,2495742,EFD357467,2024-03-06,2024-11-15,Sell,3929.2731,-93129.77,-365932300
fwd,USDUGX,USD,UGX,USD,2495743,EFD357469,2024-03-06,2024-12-13,Sell,3940.1103,-77411.17,-305008548
fwd,USDUGX,USD,UGX,USD,2495744,EFD357470,2024-03-06,2025-01-15,Sell,3949.4471,-194177.22,-766892658
